type;price;bedroomCount;sqmeter2;district
APARTMENT;285000;1;79.0;Brussels
APARTMENT;285000;1;79.0;Brussels
APARTMENT;295000;1;86.0;Brussels
APARTMENT;345000;2;70.0;Brussels
APARTMENT;365000;2;90.0;Brussels
APARTMENT;450000;2;165.0;Brussels
APARTMENT;470000;1;75.0;Brussels
APARTMENT;505000;3;118.0;Brussels
APARTMENT;600000;4;199.0;Brussels
APARTMENT;209000;2;90.0;Brussels
APARTMENT;299000;1;65.0;Brussels
HOUSE;750000;4;200.0;Brussels
HOUSE;1600000;4;325.0;Brussels
HOUSE;895000;4;200.0;Brussels
APARTMENT;520000;2;145.0;Brussels
APARTMENT;425000;1;90.0;Brussels
APARTMENT;299000;2;105.0;Brussels
APARTMENT;495000;1;99.0;Brussels
APARTMENT;710000;2;122.0;Brussels
APARTMENT;239000;1;69.0;Brussels
APARTMENT;260000;2;100.0;Brussels
APARTMENT;189000;1;80.0;Brussels
APARTMENT;295000;2;80.0;Brussels
APARTMENT;339000;2;92.0;Brussels
APARTMENT;341400;0;57.0;Brussels
APARTMENT;190000;2;116.0;Brussels
APARTMENT;299000;1;75.0;Brussels
APARTMENT;339000;1;42.0;Brussels
HOUSE;409000;4;180.0;Brussels
APARTMENT;440000;2;95.0;Brussels
HOUSE;475000;3;134.0;Brussels
HOUSE;549000;4;230.0;Brussels
HOUSE;630000;4;210.0;Brussels
HOUSE;645000;4;190.0;Brussels
APARTMENT;799000;4;180.0;Brussels
HOUSE;2100000;4;219.0;Brussels
HOUSE;825000;4;340.0;Brussels
HOUSE;449000;5;230.0;Brussels
APARTMENT;650000;2;145.0;Brussels
APARTMENT;650000;3;145.0;Brussels
APARTMENT;229000;1;72.0;Brussels
APARTMENT;260000;2;71.0;Brussels
APARTMENT;355000;2;130.0;Brussels
APARTMENT;390000;3;150.0;Brussels
APARTMENT;540000;2;159.0;Brussels
APARTMENT;280000;1;72.0;Brussels
APARTMENT;324000;2;99.0;Brussels
APARTMENT;325000;2;91.0;Brussels
APARTMENT;330000;2;91.0;Brussels
APARTMENT;345000;2;96.0;Brussels
APARTMENT;347000;2;114.0;Brussels
APARTMENT;350000;2;101.0;Brussels
APARTMENT;350000;2;101.0;Brussels
APARTMENT;350000;2;96.0;Brussels
APARTMENT;370000;2;96.0;Brussels
APARTMENT;370000;2;96.0;Brussels
APARTMENT;410000;3;133.0;Brussels
APARTMENT;465000;3;154.0;Brussels
APARTMENT;149000;1;38.0;Brussels
